期号,总销售额,红球,蓝球,一等奖省份
2020039,341609556,"02,09,10,11,16,29",02,"河北1注,江苏1注,福建1注,江西2注,湖南1注,海南1注,云南1注,新疆1注,共9注。"
2020038,374760420,"01,06,07,18,23,24",15,"河北1注,上海2注,江苏1注,浙江3注,江西1注,山东1注,重庆1注,湖南1注,广东1注,四川1注,贵州2注,共15注。"
2020037,350126486,"01,04,11,13,17,24",15,"辽宁1注,黑龙江1注,江西1注,湖南1注,甘肃1注,新疆1注,共6注。"
2020036,346455736,"07,09,16,22,24,32",06,"辽宁1注,河南1注,广西1注,共3注。"
2020035,371811232,"10,14,24,25,28,33",11,"浙江1注,安徽1注,湖北1注,广东1注,共4注。"
2020034,340793680,"02,08,15,16,26,32",03,"天津1注,河北1注,江苏2注,浙江2注,安徽1注,河南1注,湖北1注,四川1注,贵州1注,共11注。"
2020033,320555362,"07,10,12,21,31,32",01,"江苏4注,共4注。"
2020032,338904002,"03,11,13,14,15,26",13,"河北1注,辽宁1注,湖南1注,广东1注,广西1注,四川3注,云南1注,新疆2注,共11注。"
2020031,323903392,"02,05,09,15,16,27",09,"河北1注,黑龙江1注,江苏1注,浙江2注,湖北2注,湖南2注,四川3注,陕西2注,共14注。"
2020030,327786632,"17,18,21,29,30,32",03,"湖南1注,共1注。"
2020029,364268814,"01,12,18,20,30,32",05,"山西1注,上海5注,湖南1注,共7注。"
2020028,323795596,"05,06,15,18,26,32",08,"浙江1注,安徽1注,山东1注,湖南1注,广东2注,贵州1注,共7注。"
2020027,324196702,"12,13,14,24,25,28",06,"河北1注,吉林1注,安徽1注,共3注。"
2020026,349633986,"01,04,09,18,19,31",06,"安徽1注,福建1注,陕西1注,共3注。"
2020025,321611812,"01,09,10,15,20,29",02,"内蒙古1注,山东1注,湖南2注,共4注。"
2020024,317568426,"10,13,27,28,29,31",08,"山西5注,山东1注,重庆1注,湖北1注,共8注。"
2020023,340318270,"04,05,20,21,30,33",08,"江苏1注,浙江1注,安徽1注,广东1注,贵州1注,陕西1注,共6注。"
2020022,311416184,"02,10,20,22,25,30",02,"内蒙古2注,辽宁1注,江苏2注,安徽1注,山东1注,广西1注,共8注。"
2020021,296655800,"02,06,14,16,27,31",07,"上海1注,福建1注,山东2注,广西1注,共5注。"
2020020,310764432,"01,06,09,13,15,22",14,"江苏1注,福建1注,广东1注,贵州1注,共4注。"
2020019,293920314,"15,19,27,28,30,33",03,"河北2注,山西1注,辽宁1注,浙江1注,江西1注,广东1注,共7注。"
2020018,287194532,"05,07,08,11,17,22",13,"辽宁2注,黑龙江1注,上海1注,江苏2注,山东1注,陕西1注,共8注。"
2020017,295712918,"02,04,07,15,20,27",04,"内蒙古1注,江苏6注,浙江1注,安徽1注,福建2注,山东1注,广东1注,陕西2注,共15注。"
2020016,260860736,"05,06,08,17,24,27",07,"辽宁4注,上海1注,江苏1注,福建1注,江西1注,广西3注,海南1注,共12注。"
2020015,255551054,"08,09,22,24,30,33",01,"福建1注,共1注。"
2020014,261933168,"02,07,08,10,12,16",07,"内蒙古1注,浙江1注,广东1注,陕西1注,甘肃1注,共5注。"
2020013,215545590,"02,08,10,20,21,30",14,"山西1注,辽宁1注,浙江2注,共4注。"
2020012,198501652,"04,13,14,23,26,31",09,"江西1注,山东1注,云南1注,共3注。"
2020011,176331724,"04,05,07,17,18,29",01,"上海1注,浙江2注,安徽1注,江西1注,山东1注,广西1注,云南1注,共8注。"
2020010,142522854,"11,14,22,27,31,32",09,"江苏1注,陕西1注,共2注。"
2020009,405733380,"03,06,08,14,19,26",12,"北京6注,辽宁1注,上海1注,江苏2注,山东2注,重庆1注,广东1注,四川2注,共16注。"
2020008,395048088,"01,04,06,10,11,28",16,"河北4注,山西1注,辽宁1注,江苏1注,福建2注,山东1注,河南2注,湖南1注,四川1注,贵州1注,新疆2注,共17注。"
2020007,358035962,"05,12,17,20,25,31",10,"天津1注,河北1注,吉林1注,上海6注,江苏1注,浙江1注,安徽15注,江西1注,湖北2注,广东1注,广西4注,四川1注,云南1注,深圳2注,共38注。"
2020006,361697316,"03,04,05,10,16,32",09,"浙江12注,重庆1注,河南1注,广东1注,广西1注,四川4注,共20注。"
2020005,400642476,"11,16,17,22,26,32",04,"河北3注,安徽1注,江西1注,湖北2注,广西1注,共8注。"
2020004,370826158,"02,15,17,27,32,33",03,"山西1注,浙江2注,山东1注,广东1注,广西1注,云南1注,共7注。"
2020003,368960938,"09,17,26,29,30,32",03,"江苏1注,浙江12注,湖北1注,湖南1注,云南1注,共16注。"
2020002,410784878,"04,09,14,15,16,29",11,"北京1注,天津1注,河北1注,山西1注,辽宁1注,江苏1注,安徽1注,山东2注,重庆2注,广东2注,贵州1注,云南2注,共16注。"
2020001,388311860,"02,15,23,26,29,30",02,"河南1注,湖北1注,四川2注,共4注。"
2019151,405999712,"02,06,09,18,24,26",14,"辽宁1注,吉林1注,福建1注,湖南1注,广西1注,青海1注,深圳2注,共8注。"
2019150,424037140,"02,09,14,22,27,29",02,"安徽1注,山东1注,广东1注,陕西1注,深圳5注,共9注。"
2019149,401837358,"01,06,27,28,31,33",07,"北京1注,江苏1注,浙江6注,福建1注,湖南1注,广东1注,四川1注,云南1注,陕西2注,深圳1注,共16注。其中一等奖特别奖为：北京1注,云南1注,陕西2注,深圳1注。"
2019148,412835082,"09,10,13,20,26,27",08,"河北1注,山西3注,吉林1注,黑龙江1注,上海4注,江苏1注,浙江6注,安徽1注,山东4注,河南2注,湖北1注,湖南1注,广东5注,四川3注,贵州3注,云南2注,陕西1注,青海1注,宁夏1注,共42注。其中一等奖特别奖为：浙江2注,山东1注；一等奖普惠奖为：河北1注,山西3注,吉林1注,黑龙江1注,上海4注,江苏1注,浙江4注,安徽1注,山东3注,河南2注,湖北1注,湖南1注,广东5注,四川3注,贵州3注,云南2注,陕西1注,青海1注,宁夏1注。"
2019147,428843148,"01,09,12,14,23,27",12,"河北4注,内蒙古1注,陕西1注,甘肃2注,新疆1注,深圳1注,共10注。其中一等奖特别奖为：河北4注,内蒙古1注,新疆1注；一等奖普惠奖为：陕西1注,甘肃2注,深圳1注。"
2019146,400822952,"01,04,10,12,30,32",14,"河北1注,浙江1注,陕西2注,共4注。其中一等奖特别奖为：浙江1注,陕西2注；一等奖普惠奖为：河北1注。"
2019145,404721396,"01,08,13,17,18,19",16,"北京1注,辽宁1注,黑龙江2注,上海1注,江苏1注,浙江2注,安徽1注,重庆2注,贵州1注,云南1注,甘肃2注,共15注。其中一等奖特别奖为：浙江1注,安徽1注,重庆2注,甘肃2注；一等奖普惠奖为：北京1注,辽宁1注,黑龙江2注,上海1注,江苏1注,浙江1注,贵州1注,云南1注。"
2019144,448943976,"02,12,15,19,27,30",03,"天津2注,辽宁1注,江苏2注,浙江2注,重庆1注,广东2注,云南1注,新疆1注,深圳1注,共13注。其中一等奖特别奖为：天津1注,辽宁1注,江苏1注,浙江1注,广东2注,云南1注,新疆1注；一等奖普惠奖为：天津1注,江苏1注,浙江1注,重庆1注,深圳1注。"
2019143,421054466,"05,13,15,16,26,32",09,"内蒙古1注,上海2注,江西1注,重庆2注,河南1注,湖北2注,四川2注,共11注。其中一等奖特别奖为：内蒙古1注,上海2注,江西1注,重庆2注,河南1注,湖北1注,四川2注；一等奖普惠奖为：湖北1注。"
2019142,429455474,"08,14,24,27,29,33",09,"河北1注,江苏1注,浙江1注,福建5注,广西1注,新疆5注,共14注。其中一等奖特别奖为：河北1注,江苏1注,福建5注,广西1注,新疆5注；一等奖普惠奖为：浙江1注。"
2019141,466103236,"10,13,14,15,17,33",14,"山东2注,共2注。其中一等奖特别奖为：山东2注。"
2019140,421874374,"02,04,09,11,14,22",05,"北京5注,河北1注,山西1注,辽宁1注,吉林1注,黑龙江1注,浙江4注,江西1注,山东1注,湖北1注,广东2注,四川3注,陕西2注,深圳1注,共25注。其中一等奖特别奖为：北京5注,河北1注,辽宁1注,黑龙江1注,浙江4注,山东1注,湖北1注,广东2注,四川3注,陕西1注,深圳1注；一等奖普惠奖为：山西1注,吉林1注,江西1注,陕西1注。"
2019139,420684332,"08,14,20,23,30,33",11,"辽宁1注,浙江1注,安徽1注,重庆1注,共4注。其中一等奖特别奖为：浙江1注；一等奖普惠奖为：辽宁1注,安徽1注,重庆1注。"
2019138,455574142,"02,06,12,30,31,32",11,"北京1注,河北3注,山西1注,内蒙古1注,上海2注,江西1注,重庆2注,河南1注,贵州1注,甘肃1注,宁夏1注,共15注。其中一等奖特别奖为：北京1注,河北2注,山西1注,内蒙古1注,上海2注,江西1注,重庆2注,甘肃1注,宁夏1注；一等奖普惠奖为：河北1注,河南1注,贵州1注。"
2019137,414318454,"07,10,13,19,23,31",06,"北京1注,天津1注,内蒙古4注,辽宁2注,吉林2注,黑龙江2注,上海2注,江苏1注,浙江3注,安徽1注,福建1注,江西2注,重庆1注,湖北1注,四川1注,甘肃1注,深圳1注,共27注。其中一等奖特别奖为：天津1注,内蒙古4注,吉林1注,黑龙江2注,上海1注,浙江2注,安徽1注,福建1注,江西1注,重庆1注,湖北1注,四川1注,甘肃1注,深圳1注；一等奖普惠奖为：北京1注,辽宁2注,吉林1注,上海1注,江苏1注,浙江1注,江西1注。"
2019136,411048748,"12,14,15,17,29,33",12,"福建1注,山东2注,湖南1注,广东2注,甘肃1注,共7注。其中一等奖特别奖为：山东1注,湖南1注,广东2注,甘肃1注；一等奖普惠奖为：福建1注,山东1注。"
2019135,448749008,"03,06,10,11,27,33",03,"江苏1注,福建2注,河南1注,共4注。其中一等奖特别奖为：福建1注,河南1注；一等奖普惠奖为：江苏1注,福建1注。"
2019134,424644500,"01,04,06,22,29,30",03,"天津2注,辽宁1注,黑龙江1注,福建2注,贵州1注,共7注。其中一等奖特别奖为：天津2注,黑龙江1注,福建2注；一等奖普惠奖为：辽宁1注,贵州1注。"
2019133,412973230,"03,07,16,21,24,31",07,"辽宁1注,上海1注,江苏1注,山东2注,湖南2注,贵州1注,宁夏1注,深圳1注,共10注。其中一等奖特别奖为：上海1注,江苏1注,山东2注,湖南1注,贵州1注；一等奖普惠奖为：辽宁1注,湖南1注,宁夏1注,深圳1注。"
2019132,443878462,"04,06,11,14,19,33",07,"北京1注,浙江1注,江西2注,广东2注,四川1注,共7注。其中一等奖特别奖为：北京1注,浙江1注,江西2注,广东2注,四川1注。"
2019131,413548024,"09,17,19,20,24,31",04,"浙江1注,福建1注,江西1注,河南4注,湖北1注,湖南1注,广东2注,新疆1注,共12注。其中一等奖特别奖为：福建1注,江西1注,河南3注,湖北1注,湖南1注,广东1注；一等奖普惠奖为：浙江1注,河南1注,广东1注,新疆1注。"
2019130,418172282,"01,07,09,11,24,32",16,"河北2注,内蒙古1注,江西5注,河南1注,湖南1注,四川5注,共15注。其中一等奖特别奖为：河北2注,内蒙古1注,江西5注,四川4注；一等奖普惠奖为：河南1注,湖南1注,四川1注。"
2019129,442669038,"03,04,07,09,15,26",07,"北京6注,河北1注,辽宁1注,上海3注,浙江4注,山东2注,四川1注,贵州1注,陕西1注,共20注。其中一等奖特别奖为：北京1注,河北1注,山东2注,四川1注,陕西1注；一等奖普惠奖为：北京5注,辽宁1注,上海3注,浙江4注,贵州1注。"
2019128,342336168,"03,08,12,16,17,19",08,"北京1注,内蒙古1注,福建1注,江西1注,湖北1注,甘肃1注,新疆3注,共9注。"
2019127,338393664,"02,06,07,12,17,24",10,"河北1注,江苏1注,江西1注,山东2注,重庆1注,河南1注,湖北2注,广西3注,四川1注,云南1注,深圳1注,共15注。"
2019126,369776508,"02,14,17,29,32,33",16,"河北1注,黑龙江1注,上海1注,山东1注,湖北1注,广东1注,云南1注,甘肃1注,共8注。"
2019125,342491160,"02,11,12,26,27,29",03,"河北1注,浙江5注,广东1注,四川1注,共8注。"
2019124,337939626,"04,09,30,31,32,33",01,"北京1注,天津1注,河北1注,福建2注,山东4注,河南1注,湖北1注,陕西2注,甘肃1注,共14注。"
2019123,360609038,"02,06,08,17,28,30",06,"山西3注,福建1注,江西1注,重庆1注,河南2注,湖北1注,广东3注,广西4注,四川1注,云南1注,宁夏1注,共19注。"
2019122,334989390,"04,10,15,19,21,23",02,"河北1注,浙江1注,山东1注,湖北1注,共4注。"
2019121,334748934,"02,06,15,21,30,31",02,"河北5注,浙江1注,安徽1注,山东1注,湖南1注,四川5注,新疆1注,共15注。"
2019120,361613906,"10,12,27,31,32,33",03,"浙江1注,福建1注,山东1注,重庆1注,青海1注,共5注。"
2019119,332545590,"04,20,22,24,26,33",07,"江苏2注,安徽1注,四川5注,甘肃1注,共9注。"
2019118,329400746,"12,14,15,25,28,31",04,"天津1注,山西1注,黑龙江1注,上海1注,浙江1注,湖北1注,共6注。"
2019117,358734764,"03,05,11,28,32,33",01,"北京1注,福建1注,广东1注,四川1注,陕西1注,共5注。"
2019116,336502106,"01,08,09,13,16,33",01,"辽宁1注,江苏1注,重庆1注,河南1注,四川1注,云南1注,深圳1注,共7注。"
2019115,354033692,"04,10,11,14,15,29",05,"北京1注,河北1注,辽宁1注,上海1注,山东1注,重庆1注,湖北1注,陕西1注,共8注。"
2019114,372847052,"02,04,09,11,12,30",01,"江苏2注,湖南1注,云南1注,共4注。"
2019113,339648916,"01,05,19,21,25,33",15,"浙江2注,河南1注,广东1注,四川1注,共5注。"
2019112,335430712,"03,12,14,17,23,27",01,"吉林1注,江苏2注,山东1注,广东1注,新疆1注,共6注。"
2019111,371095278,"07,18,20,22,24,33",01,"北京3注,广东3注,共6注。"
2019110,345297696,"01,18,22,26,27,28",08,"北京2注,浙江1注,安徽1注,山东1注,重庆1注,深圳2注,共8注。"
2019109,339057352,"03,06,07,17,28,31",10,"江苏1注,福建1注,湖南2注,广西1注,共5注。"
2019108,361553454,"07,13,19,22,25,32",13,"河北3注,山西1注,黑龙江1注,上海1注,浙江1注,安徽1注,山东1注,湖南3注,云南1注,共13注。"
2019107,326852234,"02,06,08,23,27,32",02,"黑龙江1注,广西1注,共2注。"
2019106,330410652,"02,14,22,27,30,33",14,"北京1注,安徽1注,山东1注,共3注。"
2019105,365092568,"02,13,15,17,26,33",01,"山西5注,辽宁1注,共6注。"
2019104,336503558,"01,05,16,17,18,24",10,"内蒙古1注,浙江1注,福建1注,山东1注,广东1注,云南1注,甘肃1注,共7注。"
2019103,334444954,"04,12,14,21,27,29",12,"黑龙江1注,云南1注,共2注。"
2019102,365310214,"03,08,12,16,20,32",12,"河北1注,江苏1注,江西1注,重庆1注,湖南1注,广东1注,四川1注,云南10注,新疆1注,共18注。"
2019101,336008906,"01,04,09,21,31,33",05,"山西1注,辽宁2注,广东1注,共4注。"
2019100,334319180,"01,04,12,13,30,32",08,"浙江1注,湖北1注,共2注。"
2019099,355328056,"07,14,22,23,27,30",08,"吉林16注,黑龙江1注,安徽3注,江西1注,山东1注,广东1注,四川2注,宁夏1注,共26注。"
2019098,334187522,"03,11,12,14,17,26",09,"辽宁1注,黑龙江1注,浙江1注,湖南1注,共4注。"
2019097,328319954,"03,05,18,24,25,31",09,"辽宁1注,广东2注,陕西1注,新疆1注,共5注。"
2019096,355103324,"05,07,12,18,27,32",11,"河北1注,山西25注,辽宁1注,江西1注,山东1注,重庆1注,河南3注,广东2注,广西1注,四川11注,甘肃1注,共48注。"
2019095,327102912,"02,05,14,19,21,28",01,"辽宁2注,广东1注,共3注。"
2019094,318739184,"05,10,12,18,19,27",06,"江苏1注,浙江2注,江西2注,广东1注,陕西1注,深圳1注,共8注。"
2019093,343851622,"05,07,08,09,20,22",02,"北京2注,河北1注,内蒙古1注,辽宁2注,吉林1注,上海1注,江苏1注,浙江3注,安徽2注,福建1注,山东3注,河南5注,湖北2注,广西1注,甘肃1注,共27注。"
2019092,325113036,"09,17,27,28,32,33",08,"北京1注,江苏1注,浙江1注,重庆1注,湖南1注,广东1注,共6注。"
2019091,321773688,"07,10,21,24,29,32",11,"重庆1注,深圳1注,共2注。"
2019090,355808718,"02,03,06,08,14,22",04,"辽宁1注,广东1注,共2注。"
2019089,321183320,"02,04,14,16,20,22",11,"辽宁1注,安徽1注,湖北3注,湖南1注,广西1注,共7注。"
2019088,320442344,"13,14,15,21,23,29",13,"黑龙江1注,江苏3注,浙江3注,山东1注,湖南1注,广东7注,四川1注,云南1注,共18注。"
2019087,348495228,"04,05,07,09,21,30",04,"上海4注,安徽1注,共5注。"
2019086,318423888,"16,22,24,26,28,31",06,"天津1注,江苏1注,福建1注,江西1注,广东1注,甘肃1注,青海1注,深圳4注,共11注。"
2019085,322387974,"01,04,14,18,24,29",04,"河北1注,江苏2注,山东5注,湖北1注,广东1注,陕西2注,共12注。"
2019084,356282880,"04,08,14,18,20,27",03,"内蒙古1注,浙江1注,安徽1注,山东11注,河南1注,共15注。"
2019083,329029762,"06,15,17,26,28,31",03,"河北1注,江苏5注,浙江1注,安徽1注,贵州2注,共10注。"
2019082,328221990,"07,16,19,22,24,28",02,"河北1注,辽宁1注,安徽1注,广东2注,共5注。"
2019081,359862504,"05,24,27,29,31,32",10,"江苏1注,山东1注,重庆1注,广东2注,共5注。"
2019080,333601616,"03,06,08,20,24,32",07,"河北2注,辽宁1注,浙江1注,安徽1注,山东1注,深圳1注,共7注。"
2019079,324952306,"01,03,06,09,19,31",16,"上海10注,江苏1注,福建1注,江西1注,山东1注,四川1注,共15注。"
2019078,358699764,"01,17,27,29,31,33",12,"北京1注,黑龙江1注,江苏6注,浙江1注,山东1注,广东2注,云南2注,共14注。"
2019077,331156004,"09,11,13,18,21,22",15,"浙江1注,共1注。"
2019076,327737064,"12,15,19,20,29,32",14,"四川1注,深圳3注,共4注。"
2019075,356452390,"05,08,20,22,31,33",03,"福建1注,广东1注,共2注。"
2019074,339313032,"12,21,27,29,31,33",04,"河北1注,上海1注,安徽1注,陕西1注,共4注。"
2019073,334373706,"01,02,06,12,16,18",08,"河北2注,山西1注,内蒙古1注,江苏1注,山东1注,重庆2注,河南1注,湖北1注,广西3注,贵州1注,陕西1注,深圳2注,共17注。"
2019072,366310328,"02,09,13,15,22,30",15,"河北1注,浙江1注,江西2注,山东1注,湖南3注,广东1注,深圳1注,共10注。"
2019071,338921834,"01,08,19,24,29,30",04,"山西1注,上海1注,浙江4注,重庆3注,河南5注,湖北1注,广西2注,四川4注,贵州1注,共22注。"
2019070,335727814,"06,15,18,19,24,32",09,"浙江1注,重庆1注,四川1注,共3注。"
2019069,370103190,"06,11,16,19,21,25",01,"辽宁1注,浙江1注,福建1注,江西1注,湖北1注,广东1注,四川1注,云南1注,共8注。"
2019068,331635522,"03,14,20,24,26,33",10,"山西1注,黑龙江1注,广东2注,四川1注,甘肃1注,共6注。"
2019067,330381956,"04,06,08,11,30,33",11,"北京1注,辽宁1注,江苏2注,湖南1注,共5注。"
2019066,354505682,"01,14,17,20,22,32",04,"内蒙古1注,山东1注,河南2注,广西1注,云南1注,共6注。"
2019065,327400036,"06,09,11,15,20,26",10,"北京2注,河北1注,辽宁1注,江苏1注,湖北1注,贵州1注,云南2注,深圳1注,共10注。"
2019064,331639006,"12,20,24,25,30,33",12,"上海1注,浙江1注,广西1注,贵州1注,共4注。"
2019063,361222550,"01,14,19,22,29,31",16,"黑龙江1注,河南1注,湖北2注,海南1注,共5注。"
2019062,339468976,"07,13,16,23,26,30",01,"上海1注,江苏3注,浙江1注,湖北1注,新疆1注,共7注。"
2019061,335296666,"03,17,19,24,27,31",12,"北京1注,安徽1注,重庆2注,四川1注,陕西1注,共6注。"
2019060,367103342,"03,04,14,20,23,27",01,"河南1注,广东1注,共2注。"
2019059,345567246,"04,05,07,09,16,18",06,"湖北1注,广西1注,共2注。"
2019058,339299672,"07,08,12,21,23,27",12,"河北1注,黑龙江1注,上海1注,江苏4注,浙江1注,安徽2注,福建3注,山东1注,湖北1注,广东1注,广西1注,四川1注,云南1注,陕西1注,共20注。"
2019057,372560948,"04,05,06,08,13,18",16,"黑龙江2注,上海1注,湖南1注,四川1注,陕西1注,深圳1注,共7注。"
2019056,351267630,"13,14,17,19,21,29",01,"江西1注,共1注。"
2019055,350070872,"01,06,11,15,19,31",10,"河南1注,广东1注,共2注。"
2019054,376075414,"07,10,11,15,24,26",11,"北京1注,吉林1注,山东1注,湖北1注,湖南1注,广东1注,贵州2注,共8注。"
2019053,345533966,"04,16,22,25,29,31",08,"内蒙古1注,上海5注,江苏1注,湖北1注,四川4注,共12注。"
2019052,342251970,"03,06,09,13,16,19",16,"北京2注,天津12注,河北1注,山西3注,内蒙古2注,辽宁1注,黑龙江2注,上海5注,江苏3注,浙江26注,安徽3注,福建6注,江西3注,山东7注,重庆1注,河南5注,湖北23注,湖南3注,广东11注,广西1注,四川2注,贵州3注,云南7注,陕西16注,甘肃2注,深圳3注,共153注。"
2019051,371316762,"08,09,10,13,15,28",09,"山西1注,内蒙古1注,吉林1注,黑龙江1注,江苏1注,安徽1注,福建1注,重庆1注,河南1注,湖北1注,广东1注,西藏1注,新疆1注,共13注。"
2019050,311858860,"04,06,10,11,21,23",02,"辽宁1注,吉林1注,上海1注,安徽1注,河南1注,广东4注,云南1注,深圳3注,共13注。"
2019049,333775314,"03,10,13,22,23,28",15,"北京1注,天津1注,黑龙江1注,浙江2注,河南2注,湖北1注,新疆1注,共9注。"
2019048,379210874,"03,07,10,12,18,29",10,"河北1注,江苏3注,湖南1注,广东3注,共8注。"
2019047,349665886,"03,11,18,25,30,33",14,"广东1注,共1注。"
2019046,349236650,"02,12,16,22,25,32",06,"天津1注,黑龙江1注,上海5注,浙江1注,山东1注,河南3注,湖北1注,广东2注,海南1注,新疆1注,共17注。"
2019045,380577960,"01,06,17,19,27,31",14,"辽宁1注,江苏1注,广东3注,甘肃1注,深圳1注,共7注。"
2019044,350579948,"06,14,16,17,23,29",07,"天津1注,浙江4注,安徽1注,湖南1注,广东1注,广西1注,宁夏1注,深圳2注,共12注。"
2019043,345296562,"01,06,12,13,24,32",13,"山东1注,湖北1注,共2注。"
2019042,376134240,"15,17,19,22,25,26",04,"河北1注,山西1注,福建1注,山东1注,共4注。"
2019041,347145834,"02,09,13,23,24,26",16,"江西1注,河南1注,共2注。"
2019040,335974062,"05,06,09,18,23,31",11,"北京2注,黑龙江1注,江西1注,河南2注,广东1注,云南1注,共8注。"
2019039,363128750,"06,07,11,14,27,32",08,"江苏3注,浙江5注,广西1注,陕西2注,共11注。"
2019038,335328036,"09,12,21,27,29,30",05,"上海1注,浙江2注,重庆1注,湖北1注,四川2注,陕西1注,宁夏2注,共10注。"
2019037,344923376,"01,07,12,14,18,25",10,"江苏1注,浙江5注,山东2注,河南1注,广东2注,云南1注,共12注。"
2019036,383547756,"02,10,13,16,23,32",08,"天津1注,河北3注,辽宁1注,吉林1注,上海6注,浙江1注,安徽1注,河南2注,湖北1注,湖南2注,广东1注,陕西1注,共21注。"
2019035,354951028,"01,05,07,09,10,20",16,"北京2注,河北1注,黑龙江2注,上海1注,江西1注,山东1注,广东1注,广西1注,深圳1注,共11注。"
2019034,354652922,"09,11,15,22,24,26",03,"北京1注,河北1注,辽宁3注,上海1注,福建2注,山东1注,河南1注,共10注。"
2019033,385168218,"09,15,19,21,23,29",15,"山西1注,江苏1注,浙江1注,河南3注,四川4注,陕西1注,深圳11注,共22注。"
2019032,353034100,"04,08,09,13,28,33",04,"上海1注,江苏2注,广东1注,贵州1注,青海1注,共6注。"
2019031,358344316,"03,13,15,18,21,33",16,"江苏2注,重庆3注,共5注。"
2019030,392415448,"04,05,07,10,12,22",16,"山西1注,吉林1注,浙江2注,安徽1注,福建2注,山东1注,河南2注,湖北2注,湖南2注,广东1注,云南1注,陕西1注,共17注。"
2019029,358515950,"08,11,17,23,32,33",10,"内蒙古1注,浙江1注,福建1注,山东1注,湖北1注,甘肃1注,共6注。"
2019028,356878622,"04,19,22,26,29,30",11,"河北1注,福建3注,山东1注,重庆1注,河南1注,湖南1注,云南1注,宁夏2注,共11注。"
2019027,393236612,"02,06,08,10,11,17",13,"山东2注,湖南1注,广东5注,贵州1注,共9注。"
2019026,349411720,"03,13,15,19,20,27",14,"北京1注,内蒙古1注,安徽3注,江西1注,广东1注,四川1注,陕西1注,深圳1注,共10注。"
2019025,345714892,"15,16,21,27,30,33",04,"辽宁2注,黑龙江1注,湖南1注,广西1注,共5注。"
2019024,384117562,"01,08,23,25,28,29",10,"天津1注,上海1注,浙江1注,湖南1注,四川1注,陕西2注,宁夏1注,共8注。"
2019023,353488994,"01,10,14,15,18,31",13,"内蒙古1注,黑龙江1注,江苏1注,浙江4注,安徽1注,河南1注,湖南1注,四川2注,甘肃1注,共13注。"
2019022,338829860,"03,07,11,21,30,33",07,"江苏3注,安徽2注,江西1注,山东5注,重庆1注,广东5注,广西1注,四川1注,共19注。"
2019021,370839306,"02,05,07,08,20,27",04,"天津2注,河南1注,湖北1注,四川1注,陕西1注,共6注。"
2019020,330603914,"02,12,13,23,27,28",12,"上海1注,浙江1注,河南1注,湖北3注,湖南1注,广东1注,贵州1注,云南1注,新疆1注,共11注。"
2019019,326400930,"03,11,17,18,24,25",06,"北京2注,天津1注,河北1注,上海1注,江苏3注,浙江1注,福建1注,江西1注,山东5注,河南1注,湖北2注,广东2注,陕西1注,宁夏1注,新疆1注,共24注。"
2019018,349743310,"04,11,18,19,26,32",04,"江苏1注,浙江1注,安徽2注,广东2注,广西1注,四川1注,共8注。"
2019017,312764888,"04,05,24,28,30,33",09,"辽宁1注,上海1注,云南1注,共3注。"
2019016,314659700,"05,07,09,11,19,25",05,"河北1注,内蒙古1注,山东1注,河南1注,广东1注,四川1注,云南5注,共11注。"
2019015,386508326,"11,15,16,20,24,31",04,"山西5注,辽宁1注,黑龙江2注,江苏1注,江西1注,山东1注,广西1注,四川1注,共13注。"
2019014,327526362,"01,02,03,14,19,33",03,"辽宁3注,江苏1注,河南1注,广东2注,共7注。"
2019013,332648408,"05,07,14,16,18,21",01,"黑龙江1注,浙江1注,河南1注,陕西1注,共4注。"
2019012,370443836,"07,10,21,23,31,33",14,"黑龙江2注,共2注。"
2019011,340431350,"10,13,19,21,24,30",07,"河北2注,辽宁1注,河南1注,共4注。"
2019010,336769874,"02,04,05,08,11,30",02,"北京2注,河北1注,山西2注,黑龙江1注,山东3注,重庆1注,河南1注,广东3注,广西1注,共15注。"
2019009,376873348,"01,07,10,22,31,32",15,"辽宁1注,山东1注,湖南1注,广东8注,广西1注,共12注。"
2019008,342498692,"02,06,09,13,28,32",12,"山东1注,重庆1注,广东1注,四川1注,共4注。"
2019007,340543166,"06,10,14,15,19,23",15,"吉林1注,浙江1注,河南1注,湖北1注,广东1注,四川1注,云南2注,陕西1注,共9注。"
2019006,375825296,"01,05,10,19,26,28",12,"北京2注,山西1注,辽宁1注,黑龙江1注,江西1注,贵州1注,云南25注,共32注。"
2019005,343365078,"21,22,26,28,31,32",07,"江苏3注,福建1注,江西1注,河南1注,广东2注,广西1注,深圳2注,共11注。"
2019004,338080388,"08,12,16,19,26,32",03,"辽宁1注,江苏2注,河南1注,四川2注,贵州1注,新疆1注,共8注。"
2019003,373728002,"13,17,20,21,22,27",01,"上海1注,浙江1注,山东2注,陕西1注,共5注。"
2019002,345144344,"04,05,06,08,09,18",11,"北京1注,上海1注,河南5注,广东1注,四川1注,共9注。"
2019001,341453440,"06,10,13,15,32,33",15,"浙江1注,山东1注,重庆1注,云南1注,深圳10注,共14注。"
2018153,363663410,"01,07,17,23,25,31",11,"上海2注,河南1注,湖北1注,共4注。"
2018152,342935808,"04,14,16,23,28,29",03,"山西2注,内蒙古1注,辽宁2注,吉林1注,上海2注,江苏1注,安徽2注,湖北1注,广西1注,四川1注,云南4注,西藏1注,甘肃1注,共20注。"
2018151,345353380,"05,15,19,25,26,29",15,"辽宁1注,福建1注,江西1注,河南1注,共4注。"
