期号,总销售额,红球,蓝球,一等奖省份
2023028,378131048,"05,07,10,17,20,22",14,"北京1注,广东1注,宁夏1注,新疆1注,共4注。"
2023027,405939502,"08,10,22,27,32,33",08,"江苏1注,广东4注,共5注。"
2023026,382398740,"01,18,26,30,31,33",03,"河北1注,辽宁2注,黑龙江2注,江苏1注,浙江5注,湖南1注,共12注。"
2023025,383537242,"04,16,20,21,31,32",14,"河北1注,辽宁1注,吉林1注,江苏2注,浙江1注,重庆1注,广西1注,四川2注,共10注。"
2023024,424465912,"03,06,09,17,27,28",03,"河北4注,黑龙江1注,上海1注,江苏3注,浙江1注,江西1注,重庆1注,湖北1注,云南4注,陕西1注,甘肃1注,新疆1注,深圳1注,共21注。"
2023023,394377912,"05,08,10,15,24,25",09,"河北1注,黑龙江1注,江苏2注,浙江2注,安徽6注,江西2注,山东7注,重庆2注,河南1注,湖北3注,广东4注,广西1注,四川2注,云南1注,陕西3注,深圳3注,共41注。"
2023022,393991274,"10,11,18,19,23,31",03,"重庆1注,共1注。"
2023021,430229092,"02,05,06,19,21,27",04,"内蒙古2注,辽宁1注,浙江5注,福建5注,山东1注,湖南2注,四川2注,云南1注,陕西2注,共21注。"
2023020,394774502,"01,12,17,18,26,27",05,"黑龙江1注,山东1注,共2注。"
2023019,399695170,"06,12,26,28,29,32",15,"天津2注,内蒙古1注,江苏1注,河南1注,陕西2注,共7注。"
2023018,428078014,"10,12,17,19,25,31",13,"湖南1注,共1注。"
2023017,385010210,"05,11,18,20,26,28",12,"内蒙古1注,浙江1注,福建1注,湖北1注,广东1注,广西1注,共6注。"
2023016,363237418,"14,16,19,23,28,30",03,"河南1注,贵州1注,共2注。"
2023015,392727530,"02,03,14,21,29,32",08,"北京1注,上海3注,江苏1注,重庆1注,河南1注,广东1注,广西1注,四川1注,共10注。"
2023014,354854954,"06,07,18,23,27,30",05,"内蒙古1注,辽宁1注,上海1注,江西1注,山东1注,共5注。"
2023013,351959204,"06,10,14,22,23,33",13,"安徽1注,贵州1注,共2注。"
2023012,377681908,"03,04,07,22,26,30",06,"天津2注,吉林1注,江苏5注,福建1注,江西1注,湖北1注,四川2注,甘肃1注,共14注。"
2023011,344777252,"06,07,16,17,21,22",04,"河北1注,江苏1注,安徽2注,山东1注,河南1注,广东3注,广西1注,四川1注,宁夏1注,新疆1注,共13注。"
2023010,335698884,"04,05,13,18,27,29",12,"北京2注,浙江1注,安徽1注,江西1注,湖南2注,陕西1注,共8注。"
2023009,370445322,"03,04,19,23,30,32",06,"浙江1注,湖北1注,共2注。"
2023008,367864780,"05,13,18,20,26,28",06,"河北1注,辽宁1注,江苏3注,浙江1注,山东1注,重庆1注,甘肃1注,共9注。"
2023007,357680590,"05,06,09,22,25,31",03,"北京1注,湖北1注,青海1注,共3注。"
2023006,341187596,"02,10,12,14,24,26",05,"内蒙古3注,上海1注,安徽2注,重庆1注,新疆6注,共13注。"
2023005,331127174,"02,06,08,13,14,19",16,"黑龙江1注,四川1注,共2注。"
2023004,362777504,"01,07,15,16,20,25",16,"上海1注,福建2注,重庆3注,广西2注,共8注。"
2023003,332514694,"05,08,18,25,30,32",06,"上海1注,浙江1注,安徽1注,山东1注,广西1注,云南2注,青海1注,共8注。"
2023002,317440920,"02,06,10,16,18,22",13,"上海4注,浙江2注,共6注。"
2023001,349018800,"09,16,18,22,28,32",02,"辽宁1注,黑龙江2注,江苏1注,福建1注,云南2注,共7注。"
2022150,322732470,"01,07,11,12,22,28",05,"河北2注,辽宁2注,湖北1注,四川1注,云南2注,陕西1注,共9注。"
